Year,Month,State,County,Rate
2015,December,Arizona,Mohave County,7.5
2015,December,Arizona,Yuma County,17.6
2015,December,Arizona,Gila County,7.6
2015,December,Arizona,Maricopa County,4.7
2015,December,Arizona,Navajo County,9.2
2015,December,Arizona,Graham County,7.0
2015,December,Arizona,Pima County,5.0
2015,December,Arizona,Apache County,12.6
2015,December,Arizona,Coconino County,6.6
2015,December,Arizona,Cochise County,6.6
2015,December,Arizona,Santa Cruz County,10.2
2015,December,Arizona,Yavapai County,5.0
2015,July,Arizona,Pinal County,6.6
2015,July,Arizona,Greenlee County,7.9
2015,July,Arizona,La Paz County,7.4
2015,July,Arizona,Mohave County,8.2
2015,July,Arizona,Yuma County,25.5
2015,July,Arizona,Gila County,8.2
2015,July,Arizona,Maricopa County,5.5
2015,July,Arizona,Navajo County,10.2
2015,July,Arizona,Graham County,7.8
2015,July,Arizona,Pima County,6.0
2015,July,Arizona,Apache County,14.4
2015,July,Arizona,Coconino County,7.0
2015,July,Arizona,Cochise County,7.6
2015,July,Arizona,Santa Cruz County,13.8
2015,July,Arizona,Yavapai County,5.9
2015,November,Arizona,Pinal County,5.8
2015,November,Arizona,Greenlee County,8.1
2015,November,Arizona,La Paz County,7.0
2015,November,Arizona,Mohave County,7.5
2015,November,Arizona,Yuma County,19.3
2015,November,Arizona,Gila County,7.6
2015,November,Arizona,Maricopa County,4.8
2015,November,Arizona,Navajo County,8.8
2015,November,Arizona,Graham County,7.0
2015,November,Arizona,Pima County,5.2
2015,November,Arizona,Apache County,12.1
2015,November,Arizona,Coconino County,6.2
2015,November,Arizona,Cochise County,6.8
2015,November,Arizona,Santa Cruz County,11.1
2015,November,Arizona,Yavapai County,5.1
2014,February,Arizona,Pinal County,7.4
2014,February,Arizona,Greenlee County,4.7
2014,February,Arizona,La Paz County,8.3
2014,February,Arizona,Mohave County,9.3
2014,February,Arizona,Yuma County,21.8
2014,February,Arizona,Gila County,9.1
2014,February,Arizona,Maricopa County,6.0
2014,February,Arizona,Navajo County,12.3
2014,February,Arizona,Graham County,7.1
2014,February,Arizona,Pima County,6.1
2014,February,Arizona,Apache County,17.1
2014,February,Arizona,Coconino County,7.8
2014,February,Arizona,Cochise County,8.9
2014,February,Arizona,Santa Cruz County,12.8
2014,February,Arizona,Yavapai County,6.7
2014,October,Arizona,Pinal County,6.8
2014,October,Arizona,Greenlee County,8.0
2014,October,Arizona,La Paz County,7.4
2014,October,Arizona,Mohave County,8.3
2014,October,Arizona,Yuma County,22.4
2014,October,Arizona,Gila County,7.9
2014,October,Arizona,Maricopa County,5.7
2014,October,Arizona,Navajo County,10.0
2014,October,Arizona,Graham County,7.6
2014,October,Arizona,Pima County,5.9
2014,October,Arizona,Apache County,14.4
2014,October,Arizona,Coconino County,6.4
2014,October,Arizona,Cochise County,7.8
2014,October,Arizona,Santa Cruz County,13.9
2014,October,Arizona,Yavapai County,5.9
2014,March,Arizona,Pinal County,7.3
2014,March,Arizona,Greenlee County,5.1
2014,March,Arizona,La Paz County,8.2
2014,March,Arizona,Mohave County,9.1
2014,March,Arizona,Yuma County,20.7
2014,March,Arizona,Gila County,8.7
2014,March,Arizona,Maricopa County,6.0
2014,March,Arizona,Navajo County,11.8
2014,March,Arizona,Graham County,7.0
2014,March,Arizona,Pima County,6.1
2014,March,Arizona,Apache County,16.7
2014,March,Arizona,Coconino County,7.6
2014,March,Arizona,Cochise County,8.8
2014,March,Arizona,Santa Cruz County,12.6
2014,March,Arizona,Yavapai County,6.7
2014,August,Arizona,Pinal County,7.5
2014,August,Arizona,Greenlee County,8.0
2014,August,Arizona,La Paz County,7.7
2014,August,Arizona,Mohave County,9.0
2014,August,Arizona,Yuma County,25.6
2014,August,Arizona,Gila County,8.4
2014,August,Arizona,Maricopa County,6.3
2014,August,Arizona,Navajo County,11.1
2014,August,Arizona,Graham County,8.6
2014,August,Arizona,Pima County,6.6
2014,August,Arizona,Apache County,15.6
2014,August,Arizona,Coconino County,7.2
2014,August,Arizona,Cochise County,8.5
2014,August,Arizona,Santa Cruz County,14.9
2014,August,Arizona,Yavapai County,6.5
2014,May,Arizona,Pinal County,6.8
2014,May,Arizona,Greenlee County,5.9
2014,May,Arizona,La Paz County,7.3
2014,May,Arizona,Mohave County,8.3
2014,May,Arizona,Yuma County,24.9
2014,May,Arizona,Gila County,7.9
2014,May,Arizona,Maricopa County,5.6
2014,May,Arizona,Navajo County,10.6
2014,May,Arizona,Graham County,6.9
2014,May,Arizona,Pima County,5.8
2014,May,Arizona,Apache County,15.3
2014,May,Arizona,Coconino County,6.6
2014,May,Arizona,Cochise County,8.3
2014,May,Arizona,Santa Cruz County,11.4
2014,May,Arizona,Yavapai County,5.9
2014,January,Arizona,Pinal County,7.6
2014,January,Arizona,Greenlee County,5.1
2014,January,Arizona,La Paz County,8.4
2014,January,Arizona,Mohave County,9.6
2014,January,Arizona,Yuma County,22.5
2014,January,Arizona,Gila County,9.4
2014,January,Arizona,Maricopa County,6.1
2014,January,Arizona,Navajo County,12.9
2014,January,Arizona,Graham County,7.2
2014,January,Arizona,Pima County,6.2
2014,January,Arizona,Apache County,17.8
2014,January,Arizona,Coconino County,8.1
2014,January,Arizona,Cochise County,8.9
2014,January,Arizona,Santa Cruz County,13.4
2014,January,Arizona,Yavapai County,7.1
2014,June,Arizona,Pinal County,7.3
2014,June,Arizona,Greenlee County,6.8
2014,June,Arizona,La Paz County,7.6
2014,June,Arizona,Mohave County,8.8
2014,June,Arizona,Yuma County,23.6
2014,June,Arizona,Gila County,8.3
2014,June,Arizona,Maricopa County,6.1
2014,June,Arizona,Navajo County,11.1
2014,June,Arizona,Graham County,7.8
2014,June,Arizona,Pima County,6.4
2014,June,Arizona,Apache County,16.2
2014,June,Arizona,Coconino County,7.2
2014,June,Arizona,Cochise County,8.6
2014,June,Arizona,Santa Cruz County,12.3
2014,June,Arizona,Yavapai County,6.5
2014,September,Arizona,Pinal County,7.0
2014,September,Arizona,Greenlee County,7.9
2014,September,Arizona,La Paz County,7.5
2014,September,Arizona,Mohave County,8.7
2014,September,Arizona,Yuma County,24.3
2014,September,Arizona,Gila County,8.0
2014,September,Arizona,Maricopa County,5.9
2014,September,Arizona,Navajo County,10.3
2014,September,Arizona,Graham County,8.0
2014,September,Arizona,Pima County,6.1
2014,September,Arizona,Apache County,14.7
2014,September,Arizona,Coconino County,6.6
2014,September,Arizona,Cochise County,8.0
2014,September,Arizona,Santa Cruz County,14.7
2014,September,Arizona,Yavapai County,6.0
2014,April,Arizona,Pinal County,6.6
2014,April,Arizona,Greenlee County,4.8
2014,April,Arizona,La Paz County,7.5
2014,April,Arizona,Mohave County,8.3
2014,April,Arizona,Yuma County,23.4
2014,April,Arizona,Gila County,8.0
2014,April,Arizona,Maricopa County,5.3
2014,April,Arizona,Navajo County,10.8
2014,April,Arizona,Graham County,6.4
2014,April,Arizona,Pima County,5.5
2014,April,Arizona,Apache County,15.3
2014,April,Arizona,Coconino County,6.5
2014,April,Arizona,Cochise County,8.2
2014,April,Arizona,Santa Cruz County,11.4
2014,April,Arizona,Yavapai County,5.9
2014,December,Arizona,Pinal County,6.4
2014,December,Arizona,Greenlee County,7.8
2014,December,Arizona,La Paz County,7.3
2014,December,Arizona,Mohave County,8.2
2014,December,Arizona,Yuma County,19.4
2014,December,Arizona,Gila County,8.0
2014,December,Arizona,Maricopa County,5.3
2014,December,Arizona,Navajo County,10.4
2014,December,Arizona,Graham County,7.4
2014,December,Arizona,Pima County,5.6
2014,December,Arizona,Apache County,14.3
2014,December,Arizona,Coconino County,7.1
2014,December,Arizona,Cochise County,7.7
2014,December,Arizona,Santa Cruz County,11.4
2014,December,Arizona,Yavapai County,5.8
2014,July,Arizona,Pinal County,7.4
2014,July,Arizona,Greenlee County,7.9
2014,July,Arizona,La Paz County,7.5
2014,July,Arizona,Mohave County,8.9
2014,July,Arizona,Yuma County,26.2
2014,July,Arizona,Gila County,8.4
2014,July,Arizona,Maricopa County,6.2
2014,July,Arizona,Navajo County,11.8
2014,July,Arizona,Graham County,8.5
2014,July,Arizona,Pima County,6.5
2014,July,Arizona,Apache County,16.8
2014,July,Arizona,Coconino County,7.5
2014,July,Arizona,Cochise County,8.8
2014,July,Arizona,Santa Cruz County,14.8
2014,July,Arizona,Yavapai County,6.5
2014,November,Arizona,Pinal County,6.5
2014,November,Arizona,Greenlee County,7.8
2014,November,Arizona,La Paz County,7.1
2014,November,Arizona,Mohave County,8.1
2014,November,Arizona,Yuma County,19.6
2014,November,Arizona,Gila County,7.8
2014,November,Arizona,Maricopa County,5.5
2014,November,Arizona,Navajo County,9.8
2014,November,Arizona,Graham County,7.3
2014,November,Arizona,Pima County,5.8
2014,November,Arizona,Apache County,14.0
2014,November,Arizona,Coconino County,6.6
2014,November,Arizona,Cochise County,7.6
2014,November,Arizona,Santa Cruz County,11.9
2014,November,Arizona,Yavapai County,5.8
2016,February,Arizona,Pinal County,5.5
2016,February,Arizona,Greenlee County,8.1
2016,February,Arizona,La Paz County,6.6
2016,February,Arizona,Mohave County,7.1
2016,February,Arizona,Yuma County,15.1
2016,February,Arizona,Gila County,7.5
2016,February,Arizona,Maricopa County,4.5
2016,February,Arizona,Navajo County,8.8
2016,February,Arizona,Graham County,6.6
2016,February,Arizona,Pima County,4.8
2016,February,Arizona,Apache County,11.6
2016,February,Arizona,Coconino County,6.0
2016,February,Arizona,Cochise County,6.5
2016,February,Arizona,Santa Cruz County,8.6
2016,February,Arizona,Yavapai County,5.0
2016,October,Arizona,Pinal County,5.3
2016,October,Arizona,Greenlee County,6.7
2016,October,Arizona,La Paz County,5.6
2016,October,Arizona,Mohave County,6.3
2016,October,Arizona,Yuma County,19.4
2016,October,Arizona,Gila County,7.1
2016,October,Arizona,Maricopa County,4.4
2016,October,Arizona,Navajo County,7.6
2016,October,Arizona,Graham County,6.2
2016,October,Arizona,Pima County,4.8
2016,October,Arizona,Apache County,11.0
2016,October,Arizona,Coconino County,5.7
2016,October,Arizona,Cochise County,5.9
2016,October,Arizona,Santa Cruz County,11.7
2016,October,Arizona,Yavapai County,4.5
2016,March,Arizona,Pinal County,5.4
2016,March,Arizona,Greenlee County,8.0
2016,March,Arizona,La Paz County,6.1
2016,March,Arizona,Mohave County,6.8
2016,March,Arizona,Yuma County,13.9
2016,March,Arizona,Gila County,7.1
2016,March,Arizona,Maricopa County,4.4
2016,March,Arizona,Navajo County,8.1
2016,March,Arizona,Graham County,6.4
2016,March,Arizona,Pima County,4.7
2016,March,Arizona,Apache County,10.9
2016,March,Arizona,Coconino County,5.6
2016,March,Arizona,Cochise County,6.2
2016,March,Arizona,Santa Cruz County,8.3
2016,March,Arizona,Yavapai County,4.8
2016,August,Arizona,Pinal County,5.9
2016,August,Arizona,Greenlee County,7.7
2016,August,Arizona,La Paz County,6.6
2016,August,Arizona,Mohave County,7.0
2016,August,Arizona,Yuma County,24.4
2016,August,Arizona,Gila County,7.6
2016,August,Arizona,Maricopa County,4.9
2016,August,Arizona,Navajo County,8.5
2016,August,Arizona,Graham County,7.3
2016,August,Arizona,Pima County,5.4
2016,August,Arizona,Apache County,11.8
2016,August,Arizona,Coconino County,6.4
2016,August,Arizona,Cochise County,6.5
2016,August,Arizona,Santa Cruz County,13.0
2016,August,Arizona,Yavapai County,5.0
2016,May,Arizona,Pinal County,5.6
2016,May,Arizona,Greenlee County,8.1
2016,May,Arizona,La Paz County,5.9
2016,May,Arizona,Mohave County,6.6
2016,May,Arizona,Yuma County,21.0
2016,May,Arizona,Gila County,7.2
2016,May,Arizona,Maricopa County,4.6
2016,May,Arizona,Navajo County,8.1
2016,May,Arizona,Graham County,7.0
2016,May,Arizona,Pima County,5.0
2016,May,Arizona,Apache County,11.0
2016,May,Arizona,Coconino County,5.7
2016,May,Arizona,Cochise County,6.4
2016,May,Arizona,Santa Cruz County,8.3
2016,May,Arizona,Yavapai County,4.8
2016,January,Arizona,Pinal County,5.6
2016,January,Arizona,Greenlee County,8.3
2016,January,Arizona,La Paz County,6.8
2016,January,Arizona,Mohave County,7.3
2016,January,Arizona,Yuma County,15.8
2016,January,Arizona,Gila County,7.7
2016,January,Arizona,Maricopa County,4.6
2016,January,Arizona,Navajo County,9.2
2016,January,Arizona,Graham County,6.7
2016,January,Arizona,Pima County,4.9
2016,January,Arizona,Apache County,12.1
2016,January,Arizona,Coconino County,6.5
2016,January,Arizona,Cochise County,6.6
2016,January,Arizona,Santa Cruz County,9.2
2016,January,Arizona,Yavapai County,5.1
2016,June,Arizona,Pinal County,6.3
2016,June,Arizona,Greenlee County,8.7
2016,June,Arizona,La Paz County,6.8
2016,June,Arizona,Mohave County,7.5
2016,June,Arizona,Yuma County,22.2
2016,June,Arizona,Gila County,8.1
2016,June,Arizona,Maricopa County,5.3
2016,June,Arizona,Navajo County,9.4
2016,June,Arizona,Graham County,7.8
2016,June,Arizona,Pima County,5.7
2016,June,Arizona,Apache County,12.7
2016,June,Arizona,Coconino County,6.8
2016,June,Arizona,Cochise County,7.1
2016,June,Arizona,Santa Cruz County,10.1
2016,June,Arizona,Yavapai County,5.4
2016,September,Arizona,Pinal County,5.8
2016,September,Arizona,Greenlee County,7.4
2016,September,Arizona,La Paz County,6.3
2016,September,Arizona,Mohave County,6.8
2016,September,Arizona,Yuma County,20.9
2016,September,Arizona,Gila County,7.3
2016,September,Arizona,Maricopa County,4.8
2016,September,Arizona,Navajo County,7.8
2016,September,Arizona,Graham County,6.5
2016,September,Arizona,Pima County,5.2
2016,September,Arizona,Apache County,11.1
2016,September,Arizona,Coconino County,5.8
2016,September,Arizona,Cochise County,6.3
2016,September,Arizona,Santa Cruz County,12.5
2016,September,Arizona,Yavapai County,5.0
2016,April,Arizona,Pinal County,5.6
2016,April,Arizona,Greenlee County,8.2
2016,April,Arizona,La Paz County,6.3
2016,April,Arizona,Mohave County,6.8
2016,April,Arizona,Yuma County,18.8
2016,April,Arizona,Gila County,7.4
2016,April,Arizona,Maricopa County,4.6
2016,April,Arizona,Navajo County,8.2
2016,April,Arizona,Graham County,6.9
2016,April,Arizona,Pima County,4.9
2016,April,Arizona,Apache County,11.0
2016,April,Arizona,Coconino County,5.7
2016,April,Arizona,Cochise County,6.5
2016,April,Arizona,Santa Cruz County,8.4
2016,April,Arizona,Yavapai County,4.9
2016,December,Arizona,Pinal County,4.9
2016,December,Arizona,Greenlee County,6.0
2016,December,Arizona,La Paz County,5.3
2016,December,Arizona,Mohave County,6.0
2016,December,Arizona,Yuma County,15.3
2016,December,Arizona,Gila County,6.6
2016,December,Arizona,Maricopa County,4.0
2016,December,Arizona,Navajo County,7.7
2016,December,Arizona,Graham County,5.6
2016,December,Arizona,Pima County,4.3
2016,December,Arizona,Apache County,10.4
2016,December,Arizona,Coconino County,6.0
2016,December,Arizona,Cochise County,5.4
2016,December,Arizona,Santa Cruz County,8.6
2016,December,Arizona,Yavapai County,4.2
2016,July,Arizona,Pinal County,6.3
2016,July,Arizona,Greenlee County,8.6
2016,July,Arizona,La Paz County,6.7
2016,July,Arizona,Mohave County,7.4
2016,July,Arizona,Yuma County,24.5
2016,July,Arizona,Gila County,8.1
2016,July,Arizona,Maricopa County,5.3
2016,July,Arizona,Navajo County,9.6
2016,July,Arizona,Graham County,7.8
2016,July,Arizona,Pima County,5.8
2016,July,Arizona,Apache County,13.1
2016,July,Arizona,Coconino County,7.1
2016,July,Arizona,Cochise County,7.0
2016,July,Arizona,Santa Cruz County,13.1
2016,July,Arizona,Yavapai County,5.5
2016,November,Arizona,Pinal County,4.9
2016,November,Arizona,Greenlee County,6.0
2016,November,Arizona,La Paz County,5.5
2016,November,Arizona,Mohave County,5.8
2016,November,Arizona,Yuma County,16.7
2016,November,Arizona,Gila County,6.6
2016,November,Arizona,Maricopa County,4.0
2016,November,Arizona,Navajo County,7.2
2016,November,Arizona,Graham County,5.6
2016,November,Arizona,Pima County,4.4
2016,November,Arizona,Apache County,10.1
2016,November,Arizona,Coconino County,5.5
2016,November,Arizona,Cochise County,5.5
2016,November,Arizona,Santa Cruz County,9.1
2016,November,Arizona,Yavapai County,4.3
2011,February,Arizona,Pinal County,9.9
2011,February,Arizona,Greenlee County,11.9
2011,February,Arizona,La Paz County,10.8
2011,February,Arizona,Mohave County,12.4
2011,February,Arizona,Yuma County,20.2
2011,February,Arizona,Gila County,12.0
2011,February,Arizona,Maricopa County,8.7
2011,February,Arizona,Navajo County,15.0
2011,February,Arizona,Graham County,10.1
2011,February,Arizona,Pima County,8.5
2011,February,Arizona,Apache County,17.3
2011,February,Arizona,Coconino County,10.1
2011,February,Arizona,Cochise County,9.5
2011,February,Arizona,Santa Cruz County,13.5
2011,February,Arizona,Yavapai County,10.2
2011,October,Arizona,Pinal County,9.4
2011,October,Arizona,Greenlee County,10.0
2011,October,Arizona,La Paz County,8.8
2011,October,Arizona,Mohave County,12.1
2011,October,Arizona,Yuma County,25.0
2011,October,Arizona,Gila County,11.3
2011,October,Arizona,Maricopa County,8.3
2011,October,Arizona,Navajo County,14.4
2011,October,Arizona,Graham County,9.5
2011,October,Arizona,Pima County,8.2
2011,October,Arizona,Apache County,18.9
2011,October,Arizona,Coconino County,8.8
2011,October,Arizona,Cochise County,9.1
2011,October,Arizona,Santa Cruz County,17.7
2011,October,Arizona,Yavapai County,9.4
2011,March,Arizona,Pinal County,9.7
2011,March,Arizona,Greenlee County,10.9
2011,March,Arizona,La Paz County,10.2
2011,March,Arizona,Mohave County,12.3
2011,March,Arizona,Yuma County,20.2
2011,March,Arizona,Gila County,11.7
2011,March,Arizona,Maricopa County,8.5
2011,March,Arizona,Navajo County,14.7
2011,March,Arizona,Graham County,9.6
2011,March,Arizona,Pima County,8.3
2011,March,Arizona,Apache County,17.2
2011,March,Arizona,Coconino County,9.7
2011,March,Arizona,Cochise County,9.3
2011,March,Arizona,Santa Cruz County,13.6
2011,March,Arizona,Yavapai County,10.0
2011,August,Arizona,Pinal County,10.3
2011,August,Arizona,Greenlee County,11.9
2011,August,Arizona,La Paz County,9.7
2011,August,Arizona,Mohave County,12.7
2011,August,Arizona,Yuma County,27.3
2011,August,Arizona,Gila County,12.0
2011,August,Arizona,Maricopa County,9.1
2011,August,Arizona,Navajo County,15.2
2011,August,Arizona,Graham County,10.6
2011,August,Arizona,Pima County,9.0
2011,August,Arizona,Apache County,19.5
2011,August,Arizona,Coconino County,9.6
2011,August,Arizona,Cochise County,10.0
2011,August,Arizona,Santa Cruz County,18.1
2011,August,Arizona,Yavapai County,10.2
2011,May,Arizona,Pinal County,9.2
2011,May,Arizona,Greenlee County,10.7
2011,May,Arizona,La Paz County,9.4
2011,May,Arizona,Mohave County,11.6
2011,May,Arizona,Yuma County,26.1
2011,May,Arizona,Gila County,10.8
2011,May,Arizona,Maricopa County,8.1
2011,May,Arizona,Navajo County,13.8
2011,May,Arizona,Graham County,9.2
2011,May,Arizona,Pima County,7.9
2011,May,Arizona,Apache County,16.9
2011,May,Arizona,Coconino County,8.8
2011,May,Arizona,Cochise County,9.3
2011,May,Arizona,Santa Cruz County,13.1
2011,May,Arizona,Yavapai County,9.4
2011,January,Arizona,Pinal County,10.4
2011,January,Arizona,Greenlee County,12.4
2011,January,Arizona,La Paz County,11.6
2011,January,Arizona,Mohave County,13.1
2011,January,Arizona,Yuma County,21.8
2011,January,Arizona,Gila County,12.5
2011,January,Arizona,Maricopa County,9.1
2011,January,Arizona,Navajo County,15.7
2011,January,Arizona,Graham County,11.2
2011,January,Arizona,Pima County,9.0
2011,January,Arizona,Apache County,17.5
2011,January,Arizona,Coconino County,10.7
2011,January,Arizona,Cochise County,9.9
2011,January,Arizona,Santa Cruz County,14.3
2011,January,Arizona,Yavapai County,10.9
2011,June,Arizona,Pinal County,10.9
2011,June,Arizona,Greenlee County,11.8
2011,June,Arizona,La Paz County,11.4
2011,June,Arizona,Mohave County,13.1
2011,June,Arizona,Yuma County,26.3
2011,June,Arizona,Gila County,12.4
2011,June,Arizona,Maricopa County,9.5
2011,June,Arizona,Navajo County,16.0
2011,June,Arizona,Graham County,10.8
2011,June,Arizona,Pima County,9.6
2011,June,Arizona,Apache County,20.0
2011,June,Arizona,Coconino County,10.4
2011,June,Arizona,Cochise County,10.7
2011,June,Arizona,Santa Cruz County,15.6
2011,June,Arizona,Yavapai County,10.8
2011,September,Arizona,Pinal County,9.8
2011,September,Arizona,Greenlee County,11.3
2011,September,Arizona,La Paz County,9.1
2011,September,Arizona,Mohave County,12.4
2011,September,Arizona,Yuma County,25.7
2011,September,Arizona,Gila County,11.5
2011,September,Arizona,Maricopa County,8.7
2011,September,Arizona,Navajo County,14.7
2011,September,Arizona,Graham County,10.1
2011,September,Arizona,Pima County,8.6
2011,September,Arizona,Apache County,19.2
2011,September,Arizona,Coconino County,9.0
2011,September,Arizona,Cochise County,9.5
2011,September,Arizona,Santa Cruz County,17.8
2011,September,Arizona,Yavapai County,9.7
2011,April,Arizona,Pinal County,9.5
2011,April,Arizona,Greenlee County,11.1
2011,April,Arizona,La Paz County,9.6
2011,April,Arizona,Mohave County,11.7
2011,April,Arizona,Yuma County,24.9
2011,April,Arizona,Gila County,11.2
2011,April,Arizona,Maricopa County,8.2
2011,April,Arizona,Navajo County,14.3
2011,April,Arizona,Graham County,9.5
2011,April,Arizona,Pima County,8.0
2011,April,Arizona,Apache County,17.5
2011,April,Arizona,Coconino County,9.3
2011,April,Arizona,Cochise County,9.3
2011,April,Arizona,Santa Cruz County,13.7
2011,April,Arizona,Yavapai County,9.6
2011,December,Arizona,Pinal County,8.7
2011,December,Arizona,Greenlee County,9.2
2011,December,Arizona,La Paz County,8.8
2011,December,Arizona,Mohave County,11.6
2011,December,Arizona,Yuma County,21.5
2011,December,Arizona,Gila County,10.7
2011,December,Arizona,Maricopa County,7.6
2011,December,Arizona,Navajo County,14.3
2011,December,Arizona,Graham County,8.8
2011,December,Arizona,Pima County,7.7
2011,December,Arizona,Apache County,18.5
2011,December,Arizona,Coconino County,9.2
2011,December,Arizona,Cochise County,8.9
2011,December,Arizona,Santa Cruz County,15.0
2011,December,Arizona,Yavapai County,8.9
2011,July,Arizona,Pinal County,10.6
2011,July,Arizona,Greenlee County,12.1
2011,July,Arizona,La Paz County,10.5
